Open,High,Low,Close,Volume,OpenInt
47.965,47.965,47.946000000000005,47.946000000000005,13.04,0
47.926,47.926,46.861000000000004,46.861000000000004,2.44,0
47.141999999999996,47.756,47.123999999999995,47.358999999999995,65.01,0
46.644,46.644,46.644,46.644,1.11,0
47.167,47.167,47.167,47.167,1.66,0
47.583999999999996,47.655,47.438,47.655,24.78,0
48.145,48.145,48.035,48.035,13.29,0
48.17100000000001,48.351000000000006,48.17100000000001,48.342,7.24,0
48.541000000000004,48.541000000000004,48.541000000000004,48.541000000000004,3.68,0
48.351000000000006,48.351000000000006,48.351000000000006,48.351000000000006,1.11,0
48.244,48.316,48.244,48.316,8.88,0
48.641000000000005,48.641000000000005,48.578,48.578,21.5,0
48.468999999999994,48.468999999999994,48.468999999999994,48.468999999999994,4.42,0
48.135,48.135,48.135,48.135,5.54,0
48.145,48.145,47.901,47.901,8.88,0
47.854,47.926,47.845,47.901,32.11,0
48.332,48.332,48.299,48.299,2.9,0
48.431999999999995,48.46,48.098,48.117,95.9,0
48.416000000000004,48.416000000000004,48.416000000000004,48.416000000000004,6.65,0
48.478,48.478,48.416000000000004,48.416000000000004,23.03,0
48.633,48.902,48.549,48.902,54.2,0
48.957,49.075,48.723,48.723,40.38,0
48.948,48.948,48.948,48.948,3.32,0
48.316,48.505,48.17100000000001,48.17100000000001,11.06,0
48.651,48.651,48.651,48.651,1.11,0
48.308,48.308,48.308,48.308,1.11,0
48.379,48.45,48.379,48.416000000000004,9.14,0
48.802,48.802,48.549,48.549,3.82,0
49.272,49.516000000000005,49.272,49.516000000000005,2.23,0
49.70399999999999,49.70399999999999,49.623000000000005,49.623000000000005,2.23,0
49.254,49.805,49.137,49.352,279.11,0
49.426,49.426,48.776,48.948,10.81,0
48.108000000000004,48.424,48.035,48.424,35.39,0
48.505,48.595,48.505,48.595,13.29,0
49.327,49.327,48.84,48.84,13.95,0
49.607,49.77,49.578,49.696000000000005,315.2,0
50.428999999999995,50.428999999999995,49.662,49.662,54.04,0
49.607,49.607,49.352,49.408,43.41,0
49.617,50.348,49.578,50.148999999999994,78.74,0
50.141000000000005,50.32899999999999,50.141000000000005,50.32899999999999,6.16,0
50.221000000000004,50.221000000000004,49.598,49.607,31.77,0
49.489,50.148999999999994,49.489,50.122,7.75,0
50.781000000000006,50.781000000000006,50.781000000000006,50.781000000000006,1.11,0
50.175,50.636,50.175,50.338,37.17,0
50.4,50.701,50.321000000000005,50.701,8.88,0
50.826,51.068999999999996,50.781000000000006,50.934,40.97,0
51.123999999999995,51.123999999999995,50.711000000000006,50.988,36.32,0
50.474,50.771,50.465,50.771,15.5,0
50.735,51.06,50.573,50.711000000000006,286.4,0
50.799,51.295,50.753,51.223,215.24,0
51.34,51.396,51.006,51.196999999999996,635.48,0
51.323,51.522,51.043,51.068999999999996,537.38,0
51.277,51.522,51.053000000000004,51.268,442.12,0
51.494,51.711000000000006,51.31399999999999,51.477,383.93,0
51.818999999999996,51.818999999999996,51.43,51.693000000000005,126.23,0
51.538999999999994,51.818999999999996,50.711000000000006,50.979,710.5,0
50.743,50.743,50.104,50.493,553.34,0
50.573,50.573,49.92100000000001,49.92100000000001,292.31,0
50.31100000000001,51.16,50.31100000000001,50.871,416.23,0
50.428999999999995,50.583,50.141000000000005,50.583,111.84,0
50.076,50.681000000000004,50.076,50.626000000000005,145.93,0
50.257,50.257,49.888000000000005,49.888000000000005,29.9,0
50.31100000000001,50.31100000000001,49.352,49.578,62.7,0
50.032,50.032,50.032,50.032,1.34,0
49.075,49.092,48.928999999999995,49.056000000000004,19.93,0
49.137,49.553999999999995,49.137,49.553999999999995,3.32,0
49.672,49.958999999999996,49.56100000000001,49.958999999999996,32.77,0
49.191,49.191,48.948,49.092,16.61,0
49.128,49.254,49.128,49.254,2.23,0
49.352,49.352,49.352,49.352,11.06,0
49.941,49.941,49.85,49.85,5.54,0
50.013999999999996,50.321000000000005,49.733000000000004,49.733000000000004,14.41,0
48.878,48.878,47.34,47.34,10.33,0
47.533,47.625,47.222,47.625,8.13,0
47.733999999999995,47.917,47.57899999999999,47.817,15.3,0
48.365,48.365,48.145,48.293,26.79,0
48.87,48.87,48.512,48.512,14.51,0
48.53,48.53,48.53,48.53,1.1,0
48.933,49.007,48.74,48.961000000000006,24.66,0
48.06399999999999,48.192,48.06399999999999,48.192,8.75,0
49.032,49.032,49.032,49.032,1.1,0
49.847,49.856,49.446000000000005,49.626999999999995,13.94,0
49.84,49.84,49.418,49.708999999999996,12.02,0
